block,role,condition,gamepick,feature_nr,feature,item_nr,item_text,keyCode,rtime,vp,time_stamp,response_hand,yes_key
1,offender,self     ,0,2,age         ,2,"Sie sind 23 Jahre alt.",89,0.763981299998704,Syy,20250612T130516,left,89
1,offender,self     ,0,3,body_height ,1,"Sie sind Linkshänder.",88,0.64429779999773,Syy,20250612T130516,left,89
1,offender,character,1,2,yellow      ,2,"Der Täter hatte etwas in gelb an.",89,0.488446700008353,Syy,20250612T130516,left,89
1,offender,weapon   ,0,2,poison      ,4,"Es wurde Gift benutzt, um dem Opfer Schaden zuzufügen.",88,1.24549960000149,Syy,20250612T130516,left,89
1,offender,character,0,3,green       ,7,"Die Person in grün ist schuldig.",89,1.10243100000662,Syy,20250612T130516,left,89
1,offender,character,0,1,blue        ,4,"Der Mörder trug etwas in blau.",88,1.25814900000114,Syy,20250612T130516,left,89
1,offender,character,0,4,pink        ,6,"War der Täter in pink gekleidet?",89,0.872021900009713,Syy,20250612T130516,left,89
1,offender,place    ,0,4,house       ,3,"Die Tat hat im Haus des Opfers stattgefunden.",88,0.508678700003657,Syy,20250612T130516,left,89
1,offender,self     ,0,3,body_height ,1,"Sie sind Linkshänder.",89,0.675371100005577,Syy,20250612T130516,left,89
1,offender,weapon   ,1,1,baseball_bat,2,"Die Tatwaffe könnte ein Baseballschläger gewesen sein.",88,0.913193799991859,Syy,20250612T130516,left,89
1,offender,self     ,0,2,age         ,2,"Sie sind 23 Jahre alt.",89,0.487256100008381,Syy,20250612T130516,left,89
1,offender,self     ,0,3,body_height ,1,"Sie sind Linkshänder.",88,0.488821899998584,Syy,20250612T130516,left,89
1,offender,self     ,0,4,eye_color   ,3,"Sie sind 166 cm groß.",89,0.573034999993979,Syy,20250612T130516,left,89
1,offender,weapon   ,0,4,weapon4     ,3,"Es wurde weapon4 benutzt, um das Opfer zu ermorden.",88,1.07277199999953,Syy,20250612T130516,left,89
1,offender,character,1,2,yellow      ,2,"Der Täter hatte etwas in gelb an.",89,0.608788700003061,Syy,20250612T130516,left,89
1,offender,weapon   ,0,4,weapon4     ,3,"Es wurde weapon4 benutzt, um das Opfer zu ermorden.",88,0.710596100005205,Syy,20250612T130516,left,89
1,offender,weapon   ,0,4,weapon4     ,3,"Es wurde weapon4 benutzt, um das Opfer zu ermorden.",89,1.23881720000645,Syy,20250612T130516,left,89
1,offender,weapon   ,0,3,cactus      ,1,"War die Tatwaffe ein Kaktus?",88,1.23194729999523,Syy,20250612T130516,left,89
1,offender,weapon   ,1,1,baseball_bat,2,"Die Tatwaffe könnte ein Baseballschläger gewesen sein.",89,0.734415899991291,Syy,20250612T130516,left,89
